horizon_h,protocol,n,RMSE,MAE,R2,bias,cut_62,AUC_62,F1_62,alarm_62,detect_62,lead_62
24,P0 原样:单初值全程递归(不重置),43823,33.9724,32.211,-8.9515,-32.2099,22.068,0.4992,0.0,0.0002,0.0,
24,P1 逐小时重锚,43823,11.4552,8.9979,-0.13146,0.2384,54.648,0.7106,0.022,0.0142,0.3617,45.65
24,P2 每24h重锚,43823,15.167,11.7898,-0.98351,-1.6595,61.547,0.6526,0.019,0.0088,0.0851,37.75
24,P3 非递归直接传递(可部署),43823,9.5041,7.5985,0.22114,-0.1201,52.567,0.8957,0.0522,0.0056,0.117,28.0
1,P4 一步预报(h=1),43846,2.2731,1.2621,0.95543,0.0096,61.596,0.9986,0.8425,0.0117,0.4362,33.34
48,P0 原样:单初值全程递归(不重置),43799,33.9753,32.2135,-8.95088,-32.2135,22.068,0.4992,0.0,0.0002,0.0,
48,P1 逐小时重锚,43799,18.3599,14.7266,-1.90588,0.4905,62.364,0.5749,0.0073,0.0124,0.2234,41.86
48,P2 每24h重锚,43799,21.2855,16.7802,-2.90573,-1.446,72.555,0.5673,0.0,0.0053,0.0532,51.4
48,P3 非递归直接传递(可部署),43799,9.5044,7.5984,0.22128,-0.1244,52.567,0.8957,0.0522,0.0056,0.117,28.0
1,P4 一步预报(h=1),43846,2.2731,1.2621,0.95543,0.0096,61.596,0.9986,0.8425,0.0117,0.4362,33.34
72,P0 原样:单初值全程递归(不重置),43775,33.9782,32.2155,-8.94795,-32.2153,22.068,0.4992,0.0,0.0002,0.0,
72,P1 逐小时重锚,43775,24.1329,19.3636,-4.01824,0.7609,77.225,0.5608,0.0026,0.0049,0.1809,47.59
72,P2 每24h重锚,43775,26.7593,21.1694,-5.16996,-1.2186,83.478,0.5854,0.0,0.0057,0.0957,53.33
72,P3 非递归直接传递(可部署),43775,9.5028,7.5964,0.2219,-0.1307,52.567,0.8958,0.0522,0.0056,0.117,28.0
1,P4 一步预报(h=1),43846,2.2731,1.2621,0.95543,0.0096,61.596,0.9986,0.8425,0.0117,0.4362,33.34
