eta,wall_pore_rh,depth_m,visitor_occ,annual_amp_ratio_T,annual_lag_days,diurnal_ratio_open,diurnal_ratio_closed,visitor_RH_peak_gain,annual_range_ratio_T,annual_range_ratio_RH,T_in_mean,RH_in_mean,RH_in_min,RH_in_max,frac_gt62,frac_gt67,frac_gt75,k_sorption,score
0.3,50.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,0.139,0.4683,0.8297,12.36,32.52,8.06,90.39,0.01655,0.00793,0.00226,8e-05,1.7535837604860602
0.3,75.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,0.183,0.4683,0.9481,12.36,30.39,5.92,100.0,0.03104,0.0187,0.0073,2e-05,1.8285077450887153
0.3,25.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,0.882,0.4683,0.8331,12.36,25.53,6.12,88.79,0.00766,0.00364,0.00114,8e-05,1.9212669277343244
0.3,50.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,0.467,0.4683,0.9555,12.36,28.0,5.18,100.0,0.02435,0.01422,0.00534,2e-05,1.968133675944563
0.3,25.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,1.0,0.4683,0.938,12.36,25.61,4.44,97.52,0.0192,0.01064,0.00381,2e-05,2.0506357085380085
0.3,75.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,0.975,0.4683,0.9749,12.36,26.18,3.26,100.0,0.02782,0.01743,0.00732,2e-06,2.0670034820387455
0.3,50.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,1.032,0.4683,0.9796,12.36,25.91,2.79,100.0,0.0271,0.01706,0.00703,2e-06,2.085863826680254
0.3,25.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,1.086,0.4683,0.9844,12.36,25.64,2.32,100.0,0.0264,0.01653,0.0068,2e-06,2.105135402749614
0.3,75.0,5.0,1.0,0.6465,46.5,0.2514,0.0454,0.025,0.4683,0.8672,12.36,39.51,9.99,96.04,0.04846,0.02438,0.00722,8e-05,2.2697825589175453
0.45,50.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.163,0.5413,0.8199,12.33,30.43,5.63,86.99,0.01318,0.00629,0.00162,8e-05,2.3135998652211818
0.45,75.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.273,0.5413,0.9359,12.33,28.42,4.34,97.2,0.02172,0.01239,0.00438,2e-05,2.594784165685261
0.45,25.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.661,0.5413,0.8034,12.33,25.03,4.42,84.14,0.00686,0.00334,0.00064,8e-05,2.5961233030022375
0.45,50.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.48,0.5413,0.9203,12.33,26.71,4.02,95.34,0.0184,0.00985,0.00331,2e-05,2.665398296706594
0.45,75.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.029,0.5413,0.8691,12.33,35.83,6.84,93.08,0.03013,0.01545,0.00422,8e-05,2.6965231303217325
0.45,25.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.739,0.5413,0.9047,12.33,24.99,3.7,93.47,0.01463,0.00775,0.00289,2e-05,2.7319345056500053
0.45,75.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.725,0.5413,0.9657,12.33,25.35,3.0,98.82,0.02013,0.01134,0.00438,2e-06,2.794318144172148
0.45,50.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.751,0.5413,0.9669,12.33,25.17,2.67,98.62,0.01989,0.01103,0.00421,2e-06,2.805304869358319
0.45,25.0,5.0,1.0,0.6954,38.6,0.3205,0.0659,0.775,0.5413,0.9681,12.33,24.98,2.35,98.42,0.01959,0.01087,0.00407,2e-06,2.817122763375659
0.17,50.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,0.583,0.3871,0.9389,12.36,30.49,6.83,100.0,0.03494,0.02171,0.00839,2e-05,3.066800003942889
0.17,25.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,1.415,0.3871,0.8838,12.36,26.43,8.17,95.87,0.00926,0.00475,0.00176,8e-05,3.178484214469205
0.17,75.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,1.592,0.3871,0.9659,12.36,27.92,4.15,100.0,0.04264,0.02841,0.01346,2e-06,3.1793519699823896
0.17,50.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,1.766,0.3871,0.9739,12.36,27.48,3.36,100.0,0.041,0.02756,0.01282,2e-06,3.2031855491456085
0.17,25.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,1.688,0.3871,0.9516,12.36,26.83,5.58,100.0,0.02574,0.01557,0.00564,2e-05,3.2215978238515124
0.17,25.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,1.927,0.3871,0.982,12.36,27.04,2.56,100.0,0.03945,0.02664,0.01233,2e-06,3.228339450645771
0.17,75.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,0.245,0.3871,0.9264,12.36,34.16,8.07,100.0,0.05101,0.03138,0.01358,2e-05,3.2782662053315272
0.17,50.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,0.259,0.3871,0.8674,12.36,35.96,12.51,98.59,0.02157,0.01031,0.00311,8e-05,3.312159143418372
0.17,75.0,5.0,1.0,0.5908,57.4,0.1679,0.0271,0.056,0.3871,0.8406,12.36,45.49,16.58,100.0,0.0965,0.04734,0.0131,8e-05,3.912325744130679
