eta,wall_pore_rh,depth_m,visitor_occ,annual_amp_ratio_T,annual_lag_days,diurnal_ratio_open,diurnal_ratio_closed,visitor_RH_peak_gain,annual_range_ratio_T,annual_range_ratio_RH,T_in_mean,RH_in_mean,RH_in_min,RH_in_max,frac_gt62,frac_gt67,frac_gt75,k_sorption,score
0.3,50.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,0.171,0.5291,0.83,12.16,32.82,8.06,90.41,0.01854,0.00873,0.00268,8e-05,1.6101859565071772
0.3,75.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,0.201,0.5291,0.9481,12.16,30.78,5.92,100.0,0.0347,0.02091,0.00799,2e-05,1.6411619611119908
0.3,25.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,0.919,0.5291,0.8334,12.16,25.84,6.12,88.82,0.0086,0.0043,0.00129,8e-05,1.7378041886905065
0.3,50.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,0.486,0.5291,0.9555,12.16,28.39,5.18,100.0,0.02739,0.01588,0.00575,2e-05,1.7806969828769295
0.3,25.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,1.018,0.5291,0.9383,12.16,26.01,4.44,97.56,0.02139,0.01175,0.00431,2e-05,1.863056086377307
0.3,75.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,0.982,0.5291,0.9748,12.16,26.62,3.27,100.0,0.03107,0.0195,0.00802,2e-06,1.8772724406601435
0.3,50.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,1.039,0.5291,0.9795,12.16,26.35,2.8,100.0,0.03034,0.01902,0.00769,2e-06,1.8961327853016514
0.3,25.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,1.094,0.5291,0.9843,12.16,26.08,2.33,100.0,0.02957,0.01847,0.0074,2e-06,1.9153134522801025
0.3,75.0,5.0,1.0,0.6625,46.3,0.2515,0.0455,0.036,0.5291,0.8674,12.16,39.8,9.99,96.06,0.05327,0.02734,0.00786,8e-05,2.127505991043278
0.45,50.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.174,0.582,0.82,12.18,30.67,5.63,87.0,0.0145,0.00688,0.00189,8e-05,2.3192119766588117
0.45,75.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.277,0.582,0.936,12.18,28.73,4.34,97.22,0.02412,0.01378,0.00471,2e-05,2.5964871862137993
0.45,25.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.673,0.582,0.8034,12.18,25.28,4.42,84.14,0.00754,0.00387,0.00074,8e-05,2.6008566505444826
0.45,50.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.483,0.582,0.9204,12.18,27.02,4.02,95.35,0.02037,0.01087,0.00358,2e-05,2.6671922263260415
0.45,75.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.034,0.582,0.8692,12.18,36.07,6.84,93.09,0.03316,0.01732,0.00452,8e-05,2.7338495274736476
0.45,25.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.74,0.582,0.9048,12.18,25.3,3.7,93.48,0.01614,0.00851,0.00318,2e-05,2.733910253451271
0.45,75.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.723,0.582,0.9657,12.18,25.68,3.0,98.83,0.02235,0.01272,0.00471,2e-06,2.7951294137923153
0.45,50.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.748,0.582,0.967,12.18,25.5,2.68,98.63,0.02209,0.01232,0.00453,2e-06,2.8063455522245198
0.17,50.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,0.663,0.4759,0.9389,12.09,31.03,6.83,100.0,0.04002,0.02495,0.0093,2e-05,2.8096629010727225
0.45,25.0,5.0,1.0,0.7084,38.5,0.3211,0.066,0.773,0.582,0.9682,12.18,25.31,2.35,98.43,0.02172,0.01213,0.00436,2e-06,2.818072537150951
0.17,75.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,1.637,0.4759,0.9657,12.09,28.54,4.17,100.0,0.04883,0.03251,0.01519,2e-06,2.890054741918857
0.17,25.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,1.513,0.4759,0.8847,12.09,26.81,8.17,95.95,0.01085,0.00539,0.00212,8e-05,2.9014767658782774
0.17,50.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,1.811,0.4759,0.9738,12.09,28.1,3.37,100.0,0.04693,0.03144,0.01454,2e-06,2.9140268252372006
0.17,25.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,1.761,0.4759,0.9516,12.09,27.37,5.58,100.0,0.02986,0.01778,0.0064,2e-05,2.9352269547475793
0.17,25.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,1.972,0.4759,0.9818,12.09,27.66,2.57,100.0,0.04515,0.03042,0.01396,2e-06,2.9390422225822377
0.17,75.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,0.299,0.4759,0.9264,12.09,34.69,8.07,100.0,0.05815,0.03585,0.01536,2e-05,3.0631031284353876
0.17,50.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,0.339,0.4759,0.8683,12.09,36.33,12.51,98.67,0.02486,0.01182,0.00379,8e-05,3.0854893571651063
0.17,75.0,5.0,1.0,0.6105,56.9,0.1683,0.0272,0.078,0.4759,0.8406,12.09,45.85,16.58,100.0,0.10579,0.05365,0.01483,8e-05,3.6890327971046686
