threshold,horizon_h,cut_on_pred
62%(业务预警),0,62.6608
62%(业务预警),1,62.3036
62%(业务预警),2,62.0958
62%(业务预警),3,61.8275
62%(业务预警),4,61.439
62%(业务预警),5,61.3576
62%(业务预警),6,61.2888
62%(业务预警),7,61.3638
62%(业务预警),8,61.1727
62%(业务预警),9,61.1061
62%(业务预警),10,60.8209
62%(业务预警),11,60.7861
62%(业务预警),12,60.7755
62%(业务预警),13,60.7186
62%(业务预警),14,60.4536
62%(业务预警),15,60.3806
62%(业务预警),16,60.3413
62%(业务预警),17,60.1001
62%(业务预警),18,59.8946
62%(业务预警),19,59.5906
62%(业务预警),20,59.355
62%(业务预警),21,59.0695
62%(业务预警),22,58.872
62%(业务预警),23,58.5377
62%(业务预警),24,58.2498
62%(业务预警),25,57.9608
62%(业务预警),26,57.6583
62%(业务预警),27,57.7625
62%(业务预警),28,57.7312
62%(业务预警),29,57.7042
62%(业务预警),30,57.6939
62%(业务预警),31,57.6587
62%(业务预警),32,57.7525
62%(业务预警),33,57.7452
62%(业务预警),34,57.6784
62%(业务预警),35,57.6844
62%(业务预警),36,57.6279
62%(业务预警),37,57.598
62%(业务预警),38,57.5659
62%(业务预警),39,57.5388
62%(业务预警),40,57.5138
62%(业务预警),41,57.467
62%(业务预警),42,57.4981
62%(业务预警),43,57.554
62%(业务预警),44,57.6407
62%(业务预警),45,57.5971
62%(业务预警),46,57.5973
62%(业务预警),47,57.6203
62%(业务预警),48,57.5599
62%(业务预警),49,57.5025
62%(业务预警),50,57.4606
62%(业务预警),51,57.4259
62%(业务预警),52,57.3267
62%(业务预警),53,57.2275
62%(业务预警),54,57.1489
62%(业务预警),55,57.1043
62%(业务预警),56,57.063
62%(业务预警),57,56.9662
62%(业务预警),58,56.8744
62%(业务预警),59,56.8146
62%(业务预警),60,56.806
62%(业务预警),61,56.7782
62%(业务预警),62,56.7915
62%(业务预警),63,56.8254
62%(业务预警),64,56.8367
62%(业务预警),65,56.8548
62%(业务预警),66,56.89
62%(业务预警),67,56.9307
62%(业务预警),68,56.9517
62%(业务预警),69,56.9932
62%(业务预警),70,56.9905
62%(业务预警),71,56.9484
62%(业务预警),72,56.9712
67%(潮解起始),0,66.2285
67%(潮解起始),1,65.9627
67%(潮解起始),2,66.15
67%(潮解起始),3,65.9991
67%(潮解起始),4,65.9858
67%(潮解起始),5,66.0962
67%(潮解起始),6,65.7958
67%(潮解起始),7,65.1636
67%(潮解起始),8,64.4872
67%(潮解起始),9,63.9816
67%(潮解起始),10,64.0401
67%(潮解起始),11,63.8026
67%(潮解起始),12,63.7916
67%(潮解起始),13,63.8333
67%(潮解起始),14,63.5502
67%(潮解起始),15,63.2424
67%(潮解起始),16,63.3404
67%(潮解起始),17,63.2485
67%(潮解起始),18,63.0979
67%(潮解起始),19,62.9412
67%(潮解起始),20,62.719
67%(潮解起始),21,62.4598
67%(潮解起始),22,62.3495
67%(潮解起始),23,62.2773
67%(潮解起始),24,62.2828
67%(潮解起始),25,61.8666
67%(潮解起始),26,61.5484
67%(潮解起始),27,61.6327
67%(潮解起始),28,61.8137
67%(潮解起始),29,61.926
67%(潮解起始),30,61.7717
67%(潮解起始),31,61.9625
67%(潮解起始),32,61.8889
67%(潮解起始),33,61.5912
67%(潮解起始),34,61.8138
67%(潮解起始),35,61.2534
67%(潮解起始),36,61.0669
67%(潮解起始),37,61.281
67%(潮解起始),38,61.3281
67%(潮解起始),39,61.4691
67%(潮解起始),40,61.4035
67%(潮解起始),41,61.423
67%(潮解起始),42,61.0947
67%(潮解起始),43,60.8704
67%(潮解起始),44,60.7673
67%(潮解起始),45,60.5021
67%(潮解起始),46,60.0664
67%(潮解起始),47,60.136
67%(潮解起始),48,60.2767
67%(潮解起始),49,60.449
67%(潮解起始),50,60.6125
67%(潮解起始),51,60.5061
67%(潮解起始),52,60.2183
67%(潮解起始),53,59.8311
67%(潮解起始),54,59.6731
67%(潮解起始),55,59.6552
67%(潮解起始),56,59.6077
67%(潮解起始),57,59.5467
67%(潮解起始),58,59.4248
67%(潮解起始),59,58.8212
67%(潮解起始),60,58.8809
67%(潮解起始),61,59.1918
67%(潮解起始),62,59.3723
67%(潮解起始),63,59.5812
67%(潮解起始),64,59.5562
67%(潮解起始),65,59.4386
67%(潮解起始),66,59.1924
67%(潮解起始),67,58.9217
67%(潮解起始),68,58.6557
67%(潮解起始),69,58.5599
67%(潮解起始),70,58.6961
67%(潮解起始),71,58.7594
67%(潮解起始),72,58.8535
75%(吸湿突变),0,71.291
75%(吸湿突变),1,70.933
75%(吸湿突变),2,70.8586
75%(吸湿突变),3,70.2046
75%(吸湿突变),4,69.9228
75%(吸湿突变),5,69.2683
75%(吸湿突变),6,68.4991
75%(吸湿突变),7,67.8928
75%(吸湿突变),8,67.6929
75%(吸湿突变),9,67.5182
75%(吸湿突变),10,67.0409
75%(吸湿突变),11,66.1876
75%(吸湿突变),12,66.1131
75%(吸湿突变),13,66.3978
75%(吸湿突变),14,66.165
75%(吸湿突变),15,65.8583
75%(吸湿突变),16,66.4233
75%(吸湿突变),17,66.3787
75%(吸湿突变),18,66.5625
75%(吸湿突变),19,66.5458
75%(吸湿突变),20,66.6325
75%(吸湿突变),21,66.4824
75%(吸湿突变),22,66.4882
75%(吸湿突变),23,66.5687
75%(吸湿突变),24,66.739
75%(吸湿突变),25,66.913
75%(吸湿突变),26,67.0769
75%(吸湿突变),27,67.1328
75%(吸湿突变),28,66.9923
75%(吸湿突变),29,66.9129
75%(吸湿突变),30,66.9379
75%(吸湿突变),31,66.478
75%(吸湿突变),32,66.5298
75%(吸湿突变),33,66.0115
75%(吸湿突变),34,65.4404
75%(吸湿突变),35,65.348
75%(吸湿突变),36,64.9812
75%(吸湿突变),37,64.9441
75%(吸湿突变),38,64.8613
75%(吸湿突变),39,64.427
75%(吸湿突变),40,64.7707
75%(吸湿突变),41,64.6509
75%(吸湿突变),42,64.8853
75%(吸湿突变),43,65.0499
75%(吸湿突变),44,64.9558
75%(吸湿突变),45,64.8984
75%(吸湿突变),46,65.0012
75%(吸湿突变),47,65.0794
75%(吸湿突变),48,65.1376
75%(吸湿突变),49,65.0598
75%(吸湿突变),50,64.9292
75%(吸湿突变),51,64.7824
75%(吸湿突变),52,64.6045
75%(吸湿突变),53,64.3579
75%(吸湿突变),54,64.1145
75%(吸湿突变),55,64.0008
75%(吸湿突变),56,63.7413
75%(吸湿突变),57,63.256
75%(吸湿突变),58,62.9406
75%(吸湿突变),59,62.882
75%(吸湿突变),60,62.8624
75%(吸湿突变),61,62.7741
75%(吸湿突变),62,62.4154
75%(吸湿突变),63,62.5487
75%(吸湿突变),64,62.6755
75%(吸湿突变),65,62.5449
75%(吸湿突变),66,62.8382
75%(吸湿突变),67,62.8845
75%(吸湿突变),68,62.7786
75%(吸湿突变),69,62.7717
75%(吸湿突变),70,62.8787
75%(吸湿突变),71,62.9591
75%(吸湿突变),72,62.8971
