time,T_out,RH_out,T_in,RH_in,Q_m3h
2021-12-31 01:00:00+00:00,-8.22,43.69,4.08,25.66,860.0
2021-12-31 02:00:00+00:00,-4.18,30.2,4.96,23.05,860.0
2021-12-31 03:00:00+00:00,-0.51,21.28,5.77,20.64,860.0
2021-12-31 04:00:00+00:00,1.44,16.78,6.21,18.85,860.0
2021-12-31 05:00:00+00:00,2.56,14.73,6.46,17.96,860.0
2021-12-31 06:00:00+00:00,3.01,13.73,6.56,17.44,860.0
2021-12-31 07:00:00+00:00,2.65,13.9,6.49,17.41,860.0
2021-12-31 08:00:00+00:00,1.38,15.82,6.2,18.17,860.0
2021-12-31 09:00:00+00:00,-1.09,22.77,5.63,21.12,860.0
2021-12-31 10:00:00+00:00,-4.08,32.7,7.1,26.51,131.0
2021-12-31 11:00:00+00:00,-5.2,34.62,7.07,29.08,131.0
2021-12-31 12:00:00+00:00,-5.88,34.89,7.05,29.81,131.0
2021-12-31 13:00:00+00:00,-6.24,34.49,7.05,29.88,131.0
2021-12-31 14:00:00+00:00,-6.41,33.47,7.05,29.7,131.0
2021-12-31 15:00:00+00:00,-6.53,31.89,7.06,29.36,131.0
2021-12-31 16:00:00+00:00,-6.65,30.26,7.06,28.97,131.0
2021-12-31 17:00:00+00:00,-6.86,29.61,7.06,28.68,131.0
2021-12-31 18:00:00+00:00,-7.13,29.09,7.06,28.44,131.0
2021-12-31 19:00:00+00:00,-7.31,28.31,7.05,28.2,131.0
2021-12-31 20:00:00+00:00,-7.38,27.65,7.06,28.0,131.0
2021-12-31 21:00:00+00:00,-7.49,27.48,7.06,27.88,131.0
2021-12-31 22:00:00+00:00,-7.66,27.47,7.06,27.8,131.0
2021-12-31 23:00:00+00:00,-7.4,26.44,7.07,27.67,131.0
2022-01-01 00:00:00+00:00,-7.38,26.81,4.28,19.81,860.0
2022-01-01 01:00:00+00:00,-7.63,28.25,4.18,20.1,860.0
2022-01-01 02:00:00+00:00,-5.57,27.17,4.6,20.78,860.0
2022-01-01 03:00:00+00:00,-2.04,18.83,5.38,18.52,860.0
2022-01-01 04:00:00+00:00,-0.26,15.34,5.76,17.26,860.0
2022-01-01 05:00:00+00:00,0.91,15.07,6.02,17.54,860.0
2022-01-01 06:00:00+00:00,1.34,15.61,6.11,18.07,860.0
2022-01-01 07:00:00+00:00,0.96,17.27,6.02,18.97,860.0
2022-01-01 08:00:00+00:00,0.01,19.83,5.8,20.1,860.0
2022-01-01 09:00:00+00:00,-1.81,25.36,5.38,22.23,860.0
2022-01-01 10:00:00+00:00,-4.09,34.45,6.98,27.14,131.0
2022-01-01 11:00:00+00:00,-4.62,35.07,6.97,29.62,131.0
2022-01-01 12:00:00+00:00,-5.57,35.22,6.95,30.2,131.0
2022-01-01 13:00:00+00:00,-6.02,33.3,6.94,29.95,131.0
2022-01-01 14:00:00+00:00,-6.4,32.13,6.93,29.57,131.0
2022-01-01 15:00:00+00:00,-6.54,30.99,6.94,29.21,131.0
2022-01-01 16:00:00+00:00,-6.67,30.56,6.94,28.98,131.0
2022-01-01 17:00:00+00:00,-6.96,30.14,6.94,28.77,131.0
