horizon_h,model,RMSE,MAE,R2,bias
24,Operator-direct(本作品),6.7152,4.8645,0.61118,0.0663
24,Ablation-无慢变项,7.436,5.4277,0.52323,-0.4107
24,Ablation-无Magnus项,6.721,4.8804,0.61051,0.0108
24,Ablation-仅快变延迟,7.5059,5.4585,0.51421,-0.622
24,Ablation-短延迟(12h),6.7611,4.9211,0.60584,0.0711
24,FirstOrderTransfer-直接传递(初稿形式),8.3003,5.6052,0.40594,0.0087
24,FirstOrderTransfer-仅外场滞后(初稿原文),9.4699,7.5568,0.22674,-0.0971
24,FirstOrderTransfer-递归推演(不稳定极点),33.9777,32.2209,-8.95465,-32.2209
24,RidgeDirect(无延迟嵌入),8.9004,6.6133,0.31694,0.0064
24,Persistence-operator(可部署),16.4587,14.4081,-1.33575,12.4464
24,[oracle]Persistence(需窟内实测),8.1475,5.4704,0.42762,-0.0012
24,Climatology(可部署),8.3257,6.0066,0.40231,0.0055
48,Operator-direct(本作品),7.4356,5.4096,0.52338,-0.0453
48,Ablation-无慢变项,7.9529,5.7979,0.45476,-0.5119
48,Ablation-无Magnus项,7.4316,5.4202,0.52389,-0.1152
48,Ablation-仅快变延迟,7.9964,5.8167,0.44878,-0.6991
48,Ablation-短延迟(12h),7.4899,5.4707,0.51639,0.059
48,FirstOrderTransfer-直接传递(初稿形式),10.2583,7.187,0.09284,0.0072
48,FirstOrderTransfer-仅外场滞后(初稿原文),9.4703,7.5569,0.22685,-0.1013
48,FirstOrderTransfer-递归推演(不稳定极点),33.9862,32.2336,-8.9573,-32.2336
48,RidgeDirect(无延迟嵌入),10.1576,7.5874,0.11055,0.0015
48,Persistence-operator(可部署),16.4567,14.4056,-1.33466,12.4428
48,[oracle]Persistence(需窟内实测),10.0498,7.0062,0.12934,-0.0027
48,Climatology(可部署),8.2883,5.9693,0.4078,0.0051
72,Operator-direct(本作品),7.8571,5.7338,0.46807,-0.0533
72,Ablation-无慢变项,8.3438,6.0675,0.40012,-0.5367
72,Ablation-无Magnus项,7.8474,5.7354,0.46938,-0.1105
72,Ablation-仅快变延迟,8.3694,6.0819,0.39643,-0.7072
72,Ablation-短延迟(12h),7.932,5.8098,0.45788,0.0642
72,FirstOrderTransfer-直接传递(初稿形式),10.8319,7.6703,-0.01097,0.0101
72,FirstOrderTransfer-仅外场滞后(初稿原文),9.4697,7.5556,0.22731,-0.1068
72,FirstOrderTransfer-递归推演(不稳定极点),33.9912,32.2389,-8.95556,-32.2389
72,RidgeDirect(无延迟嵌入),10.6259,8.0232,0.02711,0.0024
72,Persistence-operator(可部署),16.457,14.4049,-1.33365,12.441
72,[oracle]Persistence(需窟内实测),10.6106,7.4815,0.02991,-0.0002
72,Climatology(可部署),8.2599,5.9292,0.41213,0.0063
