horizon_h,threshold,model,n_window,n_event_window,hit_window,cond_dur_MAE_h,joint_dur_MAE_h,false_alarm_h,dur_bias_h
24,62%(业务预警),Operator-direct(本作品),1825,94,0.3085,4.7931,6.1739,7.4925,-3.4255
24,62%(业务预警),Ablation-无慢变项,1825,94,0.4681,5.25,6.2103,6.55,-2.4574
24,62%(业务预警),Ablation-无Magnus项,1825,94,0.3085,4.6207,5.9394,6.9577,-3.383
24,62%(业务预警),Ablation-仅快变延迟,1825,94,0.3191,5.0667,5.7869,5.7753,-3.7128
24,62%(业务预警),Ablation-短延迟(12h),1825,94,0.3085,4.2759,5.8438,6.8939,-3.5745
24,62%(业务预警),FirstOrderTransfer-直接传递(初稿形式),1825,94,0.3085,3.6552,5.6908,6.2586,-4.2553
24,62%(业务预警),FirstOrderTransfer-仅外场滞后(初稿原文),1825,94,0.1277,3.5833,5.0959,3.9423,-5.5426
24,62%(业务预警),FirstOrderTransfer-递归推演(不稳定极点),1825,94,0.0,,5.9574,0.0,-5.9574
24,62%(业务预警),RidgeDirect(无延迟嵌入),1825,94,0.234,5.4545,5.5316,5.4844,-4.8404
24,62%(业务预警),Persistence-operator(可部署),1825,94,1.0,18.0426,23.6932,24.0,18.0426
24,62%(业务预警),[oracle]Persistence(需窟内实测),1825,94,0.3298,4.6774,5.6456,6.0469,-4.0319
24,62%(业务预警),Climatology(可部署),1825,94,0.0532,5.6,6.6532,8.5667,-5.4468
24,67%(潮解起始),Operator-direct(本作品),1825,45,0.2889,3.6154,6.0545,7.3846,-2.1333
24,67%(潮解起始),Ablation-无慢变项,1825,45,0.3111,4.2143,5.6063,6.0609,-2.0889
24,67%(潮解起始),Ablation-无Magnus项,1825,45,0.2667,3.3333,6.26,8.0909,-2.3778
24,67%(潮解起始),Ablation-仅快变延迟,1825,45,0.2,3.4444,4.6441,4.9315,-2.8889
24,67%(潮解起始),Ablation-短延迟(12h),1825,45,0.2667,2.8333,5.4717,6.623,-2.5778
24,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),1825,45,0.3556,2.125,4.0897,4.5758,-2.8889
24,67%(潮解起始),FirstOrderTransfer-仅外场滞后(初稿原文),1825,45,0.0444,3.0,3.8676,3.4348,-4.0
24,67%(潮解起始),FirstOrderTransfer-递归推演(不稳定极点),1825,45,0.0,,4.1333,0.0,-4.1333
24,67%(潮解起始),RidgeDirect(无延迟嵌入),1825,45,0.0889,3.25,4.7097,5.3542,-3.7111
24,67%(潮解起始),Persistence-operator(可部署),1825,45,1.0,19.8667,23.8981,24.0,19.8667
24,67%(潮解起始),[oracle]Persistence(需窟内实测),1825,45,0.3556,2.3125,3.9747,4.2059,-2.7778
24,67%(潮解起始),Climatology(可部署),1825,45,0.0667,6.3333,5.0597,6.3636,-3.5778
24,75%(吸湿突变),Operator-direct(本作品),1825,15,0.2,3.3333,4.7647,5.9474,-1.9333
24,75%(吸湿突变),Ablation-无慢变项,1825,15,0.2667,4.25,4.9753,5.2424,-1.8
24,75%(吸湿突变),Ablation-无Magnus项,1825,15,0.2,3.6667,4.5484,5.6875,-2.1333
24,75%(吸湿突变),Ablation-仅快变延迟,1825,15,0.2,3.3333,4.7059,5.1944,-2.2
24,75%(吸湿突变),Ablation-短延迟(12h),1825,15,0.2667,3.75,5.2174,6.0323,-1.5333
24,75%(吸湿突变),FirstOrderTransfer-直接传递(初稿形式),1825,15,0.2667,3.25,3.1154,2.9091,-2.2
24,75%(吸湿突变),FirstOrderTransfer-仅外场滞后(初稿原文),1825,15,0.0,,3.1765,3.5,-3.1333
24,75%(吸湿突变),FirstOrderTransfer-递归推演(不稳定极点),1825,15,0.0,,3.1333,0.0,-3.1333
24,75%(吸湿突变),RidgeDirect(无延迟嵌入),1825,15,0.0,,3.5556,4.0833,-3.1333
24,75%(吸湿突变),Persistence-operator(可部署),1825,15,1.0,20.8667,23.9742,24.0,20.8667
24,75%(吸湿突变),[oracle]Persistence(需窟内实测),1825,15,0.2667,3.25,3.1923,3.0909,-2.2
24,75%(吸湿突变),Climatology(可部署),1825,15,0.0,,3.08,3.0,-3.1333
48,62%(业务预警),Operator-direct(本作品),1824,94,0.3723,5.2286,5.995,6.4352,-3.7021
48,62%(业务预警),Ablation-无慢变项,1824,94,0.3936,5.5135,6.0259,6.1594,-3.1702
48,62%(业务预警),Ablation-无Magnus项,1824,94,0.3191,6.4333,5.8168,5.9537,-3.8723
48,62%(业务预警),Ablation-仅快变延迟,1824,94,0.3085,5.5172,5.6979,5.5612,-4.0319
48,62%(业务预警),Ablation-短延迟(12h),1824,94,0.3404,5.75,5.9292,6.2458,-3.8085
48,62%(业务预警),FirstOrderTransfer-直接传递(初稿形式),1824,94,0.1489,4.9286,5.7914,5.8406,-5.0106
48,62%(业务预警),FirstOrderTransfer-仅外场滞后(初稿原文),1824,94,0.1277,3.5833,5.0959,3.9423,-5.5426
48,62%(业务预警),FirstOrderTransfer-递归推演(不稳定极点),1824,94,0.0,,5.9574,0.0,-5.9574
48,62%(业务预警),RidgeDirect(无延迟嵌入),1824,94,0.0957,5.5556,5.6374,5.3636,-5.5
48,62%(业务预警),Persistence-operator(可部署),1824,94,1.0,18.0426,23.693,24.0,18.0426
48,62%(业务预警),[oracle]Persistence(需窟内实测),1824,94,0.1702,5.75,5.7225,5.6582,-4.6702
48,62%(业务预警),Climatology(可部署),1824,94,0.0213,4.0,6.6063,8.6364,-5.7447
48,67%(潮解起始),Operator-direct(本作品),1824,45,0.2222,2.9,5.3383,6.0568,-3.1333
48,67%(潮解起始),Ablation-无慢变项,1824,45,0.2222,4.4,5.3892,5.8443,-2.5556
48,67%(潮解起始),Ablation-无Magnus项,1824,45,0.1333,2.6667,5.0348,5.7571,-3.5556
48,67%(潮解起始),Ablation-仅快变延迟,1824,45,0.1556,4.0,5.2417,5.9333,-3.0222
48,67%(潮解起始),Ablation-短延迟(12h),1824,45,0.2889,3.3846,5.5822,6.2772,-2.6889
48,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),1824,45,0.0667,5.3333,4.2326,4.2927,-3.9111
48,67%(潮解起始),FirstOrderTransfer-仅外场滞后(初稿原文),1824,45,0.0444,3.0,3.8676,3.4348,-4.0
48,67%(潮解起始),FirstOrderTransfer-递归推演(不稳定极点),1824,45,0.0,,4.1333,0.0,-4.1333
48,67%(潮解起始),RidgeDirect(无延迟嵌入),1824,45,0.0222,5.0,4.7292,5.3333,-4.0444
48,67%(潮解起始),Persistence-operator(可部署),1824,45,1.0,19.8667,23.898,24.0,19.8667
48,67%(潮解起始),[oracle]Persistence(需窟内实测),1824,45,0.0889,6.0,4.1538,4.1304,-3.8222
48,67%(潮解起始),Climatology(可部署),1824,45,0.0444,6.0,5.0147,6.4348,-3.7556
48,75%(吸湿突变),Operator-direct(本作品),1824,15,0.1333,3.5,4.7857,5.3902,-2.4667
48,75%(吸湿突变),Ablation-无慢变项,1824,15,0.0667,7.0,5.7059,6.1857,-2.5333
48,75%(吸湿突变),Ablation-无Magnus项,1824,15,0.0667,3.0,5.2889,6.3333,-2.8
48,75%(吸湿突变),Ablation-仅快变延迟,1824,15,0.0667,2.0,4.7288,5.2727,-2.8667
48,75%(吸湿突变),Ablation-短延迟(12h),1824,15,0.1333,3.5,4.62,5.2571,-2.7333
48,75%(吸湿突变),FirstOrderTransfer-直接传递(初稿形式),1824,15,0.0,,3.2143,3.3077,-3.1333
48,75%(吸湿突变),FirstOrderTransfer-仅外场滞后(初稿原文),1824,15,0.0,,3.1765,3.5,-3.1333
48,75%(吸湿突变),FirstOrderTransfer-递归推演(不稳定极点),1824,15,0.0,,3.1333,0.0,-3.1333
48,75%(吸湿突变),RidgeDirect(无延迟嵌入),1824,15,0.0,,3.5556,4.0833,-3.1333
48,75%(吸湿突变),Persistence-operator(可部署),1824,15,1.0,20.8667,23.9742,24.0,20.8667
48,75%(吸湿突变),[oracle]Persistence(需窟内实测),1824,15,0.0,,3.1667,3.2,-3.1333
48,75%(吸湿突变),Climatology(可部署),1824,15,0.0,,3.08,3.0,-3.1333
72,62%(业务预警),Operator-direct(本作品),1823,94,0.2447,4.9565,5.7207,5.8438,-4.6809
72,62%(业务预警),Ablation-无慢变项,1823,94,0.2872,3.9259,5.9145,6.1429,-4.383
72,62%(业务预警),Ablation-无Magnus项,1823,94,0.2128,5.55,5.8269,5.8596,-4.9149
72,62%(业务预警),Ablation-仅快变延迟,1823,94,0.1702,3.5,6.08,6.642,-5.1915
72,62%(业务预警),Ablation-短延迟(12h),1823,94,0.3404,4.4688,5.9677,6.3571,-3.9255
72,62%(业务预警),FirstOrderTransfer-直接传递(初稿形式),1823,94,0.0851,5.625,5.8736,5.875,-5.3191
72,62%(业务预警),FirstOrderTransfer-仅外场滞后(初稿原文),1823,94,0.1277,3.5833,5.0959,3.9423,-5.5426
72,62%(业务预警),FirstOrderTransfer-递归推演(不稳定极点),1823,94,0.0,,5.9574,0.0,-5.9574
72,62%(业务预警),RidgeDirect(无延迟嵌入),1823,94,0.0957,6.0,5.6374,5.2597,-5.4149
72,62%(业务预警),Persistence-operator(可部署),1823,94,1.0,18.0426,23.6928,24.0,18.0426
72,62%(业务预警),[oracle]Persistence(需窟内实测),1823,94,0.117,4.9091,5.8764,5.881,-5.1702
72,62%(业务预警),Climatology(可部署),1823,94,0.0106,3.0,6.6797,8.7353,-5.8723
72,67%(潮解起始),Operator-direct(本作品),1823,45,0.1778,2.5,5.3333,5.9412,-3.5111
72,67%(潮解起始),Ablation-无慢变项,1823,45,0.2222,3.1,5.4241,5.9558,-2.9333
72,67%(潮解起始),Ablation-无Magnus项,1823,45,0.0889,3.75,5.1143,5.6316,-3.9333
72,67%(潮解起始),Ablation-仅快变延迟,1823,45,0.1333,3.3333,5.2586,5.9577,-3.4444
72,67%(潮解起始),Ablation-短延迟(12h),1823,45,0.2222,2.8,5.7389,6.4554,-3.0222
72,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),1823,45,0.0222,1.0,4.0,4.0,-4.0
