horizon_h,threshold,model,base_rate,n_event,alarm_rate,precision,recall,F1,AUC,cut
24,62%(业务预警),Operator-direct(本作品),0.0128,560,0.0174,0.1104,0.15,0.1272,0.8597,50.783
24,62%(业务预警),Ablation-无慢变项,0.0128,560,0.0254,0.0737,0.1464,0.098,0.8038,46.675
24,62%(业务预警),Ablation-无Magnus项,0.0128,560,0.0168,0.1101,0.1446,0.125,0.8578,50.601
24,62%(业务预警),Ablation-仅快变延迟,0.0128,560,0.0164,0.0725,0.0929,0.0814,0.7956,47.597
24,62%(业务预警),Ablation-短延迟(12h),0.0128,560,0.0156,0.1144,0.1393,0.1256,0.8591,51.049
24,62%(业务预警),FirstOrderTransfer-直接传递(初稿形式),0.0128,560,0.0119,0.0784,0.0732,0.0757,0.8242,62.056
24,62%(业务预警),FirstOrderTransfer-仅外场滞后(初稿原文),0.0128,560,0.0056,0.0861,0.0375,0.0522,0.8957,48.867
24,62%(业务预警),FirstOrderTransfer-递归推演(不稳定极点),0.0128,560,0.0,0.0,0.0,0.0,0.4995,22.068
24,62%(业务预警),RidgeDirect(无延迟嵌入),0.0128,560,0.0104,0.0592,0.0482,0.0531,0.7388,54.955
24,62%(业务预警),Persistence-operator(可部署),0.0128,560,1.0,0.0128,1.0,0.0252,0.5006,30.719
24,62%(业务预警),[oracle]Persistence(需窟内实测),0.0128,560,0.013,0.0915,0.0929,0.0922,0.8361,61.941
24,62%(业务预警),Climatology(可部署),0.0128,560,0.007,0.0033,0.0018,0.0023,0.7338,48.588
24,67%(潮解起始),Operator-direct(本作品),0.0042,186,0.013,0.0175,0.0538,0.0265,0.8461,51.61
24,67%(潮解起始),Ablation-无慢变项,0.0042,186,0.018,0.0101,0.043,0.0164,0.761,47.47
24,67%(潮解起始),Ablation-无Magnus项,0.0042,186,0.0119,0.0173,0.0484,0.0255,0.8424,51.617
24,67%(潮解起始),Ablation-仅快变延迟,0.0042,186,0.0097,0.0165,0.0376,0.0229,0.7491,48.747
24,67%(潮解起始),Ablation-短延迟(12h),0.0042,186,0.0109,0.0084,0.0215,0.012,0.8448,52.091
24,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),0.0042,186,0.0047,0.0338,0.0376,0.0356,0.8329,66.468
24,67%(潮解起始),FirstOrderTransfer-仅外场滞后(初稿原文),0.0042,186,0.0019,0.0118,0.0054,0.0074,0.9018,50.813
24,67%(潮解起始),FirstOrderTransfer-递归推演(不稳定极点),0.0042,186,0.0,0.0,0.0,0.0,0.4995,25.608
24,67%(潮解起始),RidgeDirect(无延迟嵌入),0.0042,186,0.0063,0.0,0.0,0.0,0.7017,56.651
24,67%(潮解起始),Persistence-operator(可部署),0.0042,186,1.0,0.0042,1.0,0.0085,0.4997,30.719
24,67%(潮解起始),[oracle]Persistence(需窟内实测),0.0042,186,0.0047,0.0392,0.043,0.041,0.8454,66.717
24,67%(潮解起始),Climatology(可部署),0.0042,186,0.0038,0.0,0.0,0.0,0.7098,49.737
24,75%(吸湿突变),Operator-direct(本作品),0.0011,47,0.0031,0.0,0.0,0.0,0.8315,55.161
24,75%(吸湿突变),Ablation-无慢变项,0.0011,47,0.0085,0.0,0.0,0.0,0.7374,49.002
24,75%(吸湿突变),Ablation-无Magnus项,0.0011,47,0.0024,0.0,0.0,0.0,0.8324,55.616
24,75%(吸湿突变),Ablation-仅快变延迟,0.0011,47,0.0045,0.0,0.0,0.0,0.7242,50.076
24,75%(吸湿突变),Ablation-短延迟(12h),0.0011,47,0.0048,0.0,0.0,0.0,0.8289,54.248
24,75%(吸湿突变),FirstOrderTransfer-直接传递(初稿形式),0.0011,47,0.001,0.0,0.0,0.0,0.8444,74.388
24,75%(吸湿突变),FirstOrderTransfer-仅外场滞后(初稿原文),0.0011,47,0.0002,0.0,0.0,0.0,0.9347,53.632
24,75%(吸湿突变),FirstOrderTransfer-递归推演(不稳定极点),0.0011,47,0.0,0.0,0.0,0.0,0.4995,28.448
24,75%(吸湿突变),RidgeDirect(无延迟嵌入),0.0011,47,0.0011,0.0,0.0,0.0,0.6821,60.751
24,75%(吸湿突变),Persistence-operator(可部署),0.0011,47,1.0,0.0011,1.0,0.0021,0.4997,30.719
24,75%(吸湿突变),[oracle]Persistence(需窟内实测),0.0011,47,0.0011,0.0,0.0,0.0,0.8589,74.799
24,75%(吸湿突变),Climatology(可部署),0.0011,47,0.0007,0.0,0.0,0.0,0.6978,51.316
48,62%(业务预警),Operator-direct(本作品),0.0128,560,0.0203,0.08,0.1268,0.0981,0.8199,47.818
48,62%(业务预警),Ablation-无慢变项,0.0128,560,0.0252,0.077,0.1518,0.1022,0.7682,45.29
48,62%(业务预警),Ablation-无Magnus项,0.0128,560,0.0192,0.0858,0.1286,0.1029,0.8188,47.595
48,62%(业务预警),Ablation-仅快变延迟,0.0128,560,0.0166,0.0812,0.1054,0.0917,0.7657,46.19
48,62%(业务预警),Ablation-短延迟(12h),0.0128,560,0.0215,0.0734,0.1232,0.092,0.8224,47.754
48,62%(业务预警),FirstOrderTransfer-直接传递(初稿形式),0.0128,560,0.0112,0.0447,0.0393,0.0418,0.7303,62.528
48,62%(业务预警),FirstOrderTransfer-仅外场滞后(初稿原文),0.0128,560,0.0056,0.0861,0.0375,0.0522,0.8957,48.867
48,62%(业务预警),FirstOrderTransfer-递归推演(不稳定极点),0.0128,560,0.0,0.0,0.0,0.0,0.4997,22.068
48,62%(业务预警),RidgeDirect(无延迟嵌入),0.0128,560,0.0104,0.0263,0.0214,0.0236,0.6584,54.955
48,62%(业务预警),Persistence-operator(可部署),0.0128,560,1.0,0.0128,1.0,0.0252,0.4997,30.719
48,62%(业务预警),[oracle]Persistence(需窟内实测),0.0128,560,0.013,0.0634,0.0643,0.0638,0.7485,61.941
48,62%(业务预警),Climatology(可部署),0.0128,560,0.007,0.0,0.0,0.0,0.729,48.588
48,67%(潮解起始),Operator-direct(本作品),0.0042,186,0.0132,0.0,0.0,0.0,0.7837,48.641
48,67%(潮解起始),Ablation-无慢变项,0.0042,186,0.018,0.0152,0.0645,0.0246,0.7128,45.999
48,67%(潮解起始),Ablation-无Magnus项,0.0042,186,0.0098,0.0,0.0,0.0,0.7805,48.799
48,67%(潮解起始),Ablation-仅快变延迟,0.0042,186,0.0114,0.012,0.0323,0.0175,0.7096,47.092
48,67%(潮解起始),Ablation-短延迟(12h),0.0042,186,0.016,0.0043,0.0161,0.0068,0.7917,48.439
48,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),0.0042,186,0.0042,0.0,0.0,0.0,0.6895,67.295
48,67%(潮解起始),FirstOrderTransfer-仅外场滞后(初稿原文),0.0042,186,0.0019,0.0118,0.0054,0.0074,0.9018,50.813
48,67%(潮解起始),FirstOrderTransfer-递归推演(不稳定极点),0.0042,186,0.0,0.0,0.0,0.0,0.4997,25.608
