horizon_h,threshold,model,n_onset,n_warned,detect_rate,mean_lead_h
24,62%(业务预警),Operator-direct(本作品),94,32,0.3404,42.62
24,62%(业务预警),FirstOrderTransfer(初稿方案),94,0,0.0,
24,67%(潮解起始),Operator-direct(本作品),40,11,0.275,23.0
24,67%(潮解起始),FirstOrderTransfer(初稿方案),40,0,0.0,
24,75%(吸湿突变),Operator-direct(本作品),11,1,0.0909,54.0
24,75%(吸湿突变),FirstOrderTransfer(初稿方案),11,0,0.0,
48,62%(业务预警),Operator-direct(本作品),94,29,0.3085,48.93
48,62%(业务预警),FirstOrderTransfer(初稿方案),94,0,0.0,
48,67%(潮解起始),Operator-direct(本作品),40,11,0.275,35.09
48,67%(潮解起始),FirstOrderTransfer(初稿方案),40,0,0.0,
48,75%(吸湿突变),Operator-direct(本作品),11,1,0.0909,56.0
48,75%(吸湿突变),FirstOrderTransfer(初稿方案),11,0,0.0,
72,62%(业务预警),Operator-direct(本作品),94,32,0.3404,50.34
72,62%(业务预警),FirstOrderTransfer(初稿方案),94,0,0.0,
72,67%(潮解起始),Operator-direct(本作品),40,11,0.275,45.73
72,67%(潮解起始),FirstOrderTransfer(初稿方案),40,0,0.0,
72,75%(吸湿突变),Operator-direct(本作品),11,2,0.1818,42.5
72,75%(吸湿突变),FirstOrderTransfer(初稿方案),11,0,0.0,
