lambda_discrete,abs_lambda,tau_hours,period_hours,period_days
(0.99985-0.00072j),0.999851,6690.56,8727.13,363.63
(0.99985+0.00072j),0.999851,6690.56,8727.13,363.63
(0.999722+0j),0.999722,3600.06,inf,inf
(0.999571+0j),0.999571,2331.45,inf,inf
(0.965485+0.258647j),0.99953,2125.3,24.0,1.0
(0.965485-0.258647j),0.99953,2125.3,24.0,1.0
(0.999513+0.00096j),0.999513,2053.94,6538.81,272.45
(0.999513-0.00096j),0.999513,2053.94,6538.81,272.45
(0.865337+0.499468j),0.999138,1159.43,12.0,0.5
(0.865337-0.499468j),0.999138,1159.43,12.0,0.5
