horizon_h,threshold,model,base_rate,alarm_rate,precision,recall,F1,AUC
24,62%(业务预警),state-MSE（旧口径）,0.0128,0.017,0.0874,0.1161,0.0997,0.8187
24,67%(潮解起始),state-MSE（旧口径）,0.0042,0.0127,0.0144,0.043,0.0216,0.7821
24,75%(吸湿突变),state-MSE（旧口径）,0.0011,0.0048,0.0,0.0,0.0,0.7591
24,62%(业务预警),traj-MSE（完美外场）,0.0128,0.0132,0.0552,0.0571,0.0561,0.7876
24,67%(潮解起始),traj-MSE（完美外场）,0.0042,0.0067,0.0,0.0,0.0,0.7689
24,75%(吸湿突变),traj-MSE（完美外场）,0.0011,0.0006,0.0,0.0,0.0,0.7482
24,62%(业务预警),traj-Quantile(tau=0.9),0.0128,0.0096,0.0549,0.0411,0.047,0.7983
24,67%(潮解起始),traj-Quantile(tau=0.9),0.0042,0.0045,0.0,0.0,0.0,0.7848
24,75%(吸湿突变),traj-Quantile(tau=0.9),0.0011,0.0005,0.0,0.0,0.0,0.7618
48,62%(业务预警),state-MSE（旧口径）,0.0128,0.0178,0.077,0.1071,0.0896,0.7846
48,67%(潮解起始),state-MSE（旧口径）,0.0042,0.015,0.0122,0.043,0.019,0.7403
48,75%(吸湿突变),state-MSE（旧口径）,0.0011,0.0087,0.0,0.0,0.0,0.7322
48,62%(业务预警),traj-MSE（完美外场）,0.0128,0.0132,0.0345,0.0357,0.0351,0.7303
48,67%(潮解起始),traj-MSE（完美外场）,0.0042,0.0067,0.0,0.0,0.0,0.6793
48,75%(吸湿突变),traj-MSE（完美外场）,0.0011,0.0006,0.0,0.0,0.0,0.6602
48,62%(业务预警),traj-Quantile(tau=0.9),0.0128,0.0096,0.0358,0.0268,0.0306,0.7365
48,67%(潮解起始),traj-Quantile(tau=0.9),0.0042,0.0045,0.0,0.0,0.0,0.691
48,75%(吸湿突变),traj-Quantile(tau=0.9),0.0011,0.0005,0.0,0.0,0.0,0.671
72,62%(业务预警),state-MSE（旧口径）,0.0128,0.0172,0.0573,0.0768,0.0656,0.7683
72,67%(潮解起始),state-MSE（旧口径）,0.0042,0.0146,0.0078,0.0269,0.0121,0.734
72,75%(吸湿突变),state-MSE（旧口径）,0.0011,0.009,0.0,0.0,0.0,0.7179
72,62%(业务预警),traj-MSE（完美外场）,0.0128,0.0132,0.0224,0.0232,0.0228,0.7039
72,67%(潮解起始),traj-MSE（完美外场）,0.0042,0.0067,0.0,0.0,0.0,0.6505
72,75%(吸湿突变),traj-MSE（完美外场）,0.0011,0.0006,0.0,0.0,0.0,0.6104
72,62%(业务预警),traj-Quantile(tau=0.9),0.0128,0.0096,0.031,0.0232,0.0266,0.7058
72,67%(潮解起始),traj-Quantile(tau=0.9),0.0042,0.0045,0.0,0.0,0.0,0.6563
72,75%(吸湿突变),traj-Quantile(tau=0.9),0.0011,0.0005,0.0,0.0,0.0,0.6113
