scenario,readout,origin,step_h,RH_pred,RH_true,level
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,0,28.356,24.753,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,1,26.483,21.517,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,2,24.634,19.916,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,3,23.023,19.289,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,4,21.852,18.517,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,5,21.299,17.772,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,6,21.502,17.223,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,7,22.511,17.107,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,8,24.265,17.219,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,9,26.56,17.637,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,10,29.03,27.594,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,11,31.296,29.976,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,12,33.048,31.459,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,13,34.219,32.305,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,14,34.92,32.84,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,15,35.322,32.901,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,16,35.555,32.551,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,17,35.711,32.293,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,18,35.826,32.14,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,19,35.886,31.919,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,20,35.834,31.538,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,21,35.566,31.4,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,22,34.97,31.554,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,23,33.935,31.788,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,24,32.474,23.786,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,25,30.72,21.811,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,26,28.915,21.2,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,27,27.288,20.692,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,28,26.053,20.516,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,29,25.396,20.979,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,30,25.455,21.881,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,31,26.286,23.154,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,32,27.839,24.114,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,33,29.924,24.636,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,34,32.19,33.472,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,35,34.27,34.805,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,36,35.863,35.566,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,37,36.894,35.766,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,38,37.471,36.173,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,39,37.757,37.136,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,40,37.878,38.26,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,41,37.932,38.968,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,42,37.959,39.579,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,43,37.949,41.385,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,44,37.841,44.677,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,45,37.524,48.238,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,46,36.875,50.302,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,47,35.777,50.884,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,48,34.242,49.478,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,49,32.404,45.995,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,50,30.506,43.438,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,51,28.783,42.059,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,52,27.444,41.31,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,53,26.675,40.808,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,54,26.617,40.422,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,55,27.331,40.253,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,56,28.775,39.807,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,57,30.767,41.881,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,58,32.956,53.107,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,59,34.971,58.805,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,60,36.509,65.753,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,61,37.496,71.753,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,62,38.035,76.018,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,63,38.291,78.783,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,64,38.388,79.441,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,65,38.422,78.659,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,66,38.435,77.684,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,67,38.41,77.065,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,68,38.287,80.185,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,69,37.953,80.973,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,70,37.286,81.275,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,71,36.172,81.24,0
高湿事件,线性 MSE,2024-04-16 00:00:00+00:00,72,34.62,89.016,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,0,32.052,24.753,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,1,30.747,21.517,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,2,29.377,19.916,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,3,28.135,19.289,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,4,27.24,18.517,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,5,26.889,17.772,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,6,27.218,17.223,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,7,28.276,17.107,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,8,29.984,17.219,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,9,32.148,17.637,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,10,34.467,27.594,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,11,36.633,29.976,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,12,38.38,31.459,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,13,39.606,32.305,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,14,40.357,32.84,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,15,40.774,32.901,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,16,41.004,32.551,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,17,41.17,32.293,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,18,41.351,32.14,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,19,41.57,31.919,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,20,41.796,31.538,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,21,41.942,31.4,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,22,41.892,31.554,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,23,41.504,31.788,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,24,40.709,23.786,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,25,39.539,21.811,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,26,38.158,21.2,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,27,36.772,20.692,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,28,35.607,20.516,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,29,34.871,20.979,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,30,34.722,21.881,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,31,35.236,23.154,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,32,36.388,24.114,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,33,38.027,24.636,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,34,39.872,33.472,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,35,41.622,34.805,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,36,43.017,35.566,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,37,43.945,35.766,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,38,44.44,36.173,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,39,44.628,37.136,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,40,44.641,38.26,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,41,44.61,38.968,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,42,44.622,39.579,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,43,44.707,41.385,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,44,44.833,44.677,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,45,44.905,48.238,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,46,44.79,50.302,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,47,44.336,50.884,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,48,43.462,49.478,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,49,42.202,45.995,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,50,40.714,43.438,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,51,39.204,42.059,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,52,37.9,41.31,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,53,37.011,40.808,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,54,36.703,40.422,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,55,37.056,40.253,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,56,38.058,39.807,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,57,39.565,41.881,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,58,41.292,53.107,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,59,42.932,58.805,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,60,44.225,65.753,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,61,45.067,71.753,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,62,45.494,76.018,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,63,45.633,78.783,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,64,45.611,79.441,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,65,45.556,78.659,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,66,45.553,77.684,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,67,45.631,77.065,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,68,45.755,80.185,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,69,45.831,80.973,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,70,45.727,81.275,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,71,45.286,81.24,0
高湿事件,分位数 τ=0.9,2024-04-16 00:00:00+00:00,72,44.42,89.016,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,0,33.239,24.753,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,1,32.212,21.517,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,2,31.106,19.916,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,3,30.099,19.289,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,4,29.391,18.517,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,5,29.169,17.772,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,6,29.569,17.223,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,7,30.644,17.107,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,8,32.335,17.219,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,9,34.455,17.637,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,10,36.728,27.594,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,11,38.872,29.976,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,12,40.632,31.459,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,13,41.893,32.305,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,14,42.681,32.84,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,15,43.12,32.901,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,16,43.353,32.551,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,17,43.518,32.293,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,18,43.714,32.14,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,19,43.984,31.919,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,20,44.308,31.538,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,21,44.615,31.4,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,22,44.777,31.554,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,23,44.648,31.788,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,24,44.116,23.786,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,25,43.181,21.811,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,26,41.979,21.2,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,27,40.702,20.692,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,28,39.567,20.516,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,29,38.791,20.979,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,30,38.544,21.881,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,31,38.914,23.154,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,32,39.893,24.114,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,33,41.343,24.636,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,34,43.017,33.472,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,35,44.633,34.805,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,36,45.947,35.566,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,37,46.837,35.766,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,38,47.305,36.173,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,39,47.462,37.136,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,40,47.447,38.26,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,41,47.396,38.968,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,42,47.415,39.579,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,43,47.543,41.385,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,44,47.762,44.677,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,45,47.978,48.238,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,46,48.06,50.302,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,47,47.847,50.884,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,48,47.217,49.478,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,49,46.173,45.995,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,50,44.842,43.438,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,51,43.417,42.059,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,52,42.126,41.31,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,53,41.182,40.808,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,54,40.754,40.422,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,55,40.946,40.253,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,56,41.758,39.807,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,57,43.066,41.881,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,58,44.613,53.107,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,59,46.107,58.805,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,60,47.302,65.753,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,61,48.083,71.753,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,62,48.46,76.018,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,63,48.547,78.783,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,64,48.484,79.441,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,65,48.403,78.659,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,66,48.404,77.684,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,67,48.53,77.065,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,68,48.757,80.185,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,69,48.992,80.973,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,70,49.107,81.275,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,71,48.927,81.24,0
高湿事件,分位数 τ=0.95,2024-04-16 00:00:00+00:00,72,48.327,89.016,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,0,34.139,36.847,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,1,32.843,36.073,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,2,32.062,35.721,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,3,31.903,35.526,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,4,32.427,35.778,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,5,33.591,36.751,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,6,35.228,38.019,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,7,37.087,45.057,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,8,38.972,45.521,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,9,40.721,46.035,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,10,42.223,46.582,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,11,43.355,46.72,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,12,44.071,46.97,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,13,44.37,47.012,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,14,44.292,46.744,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,15,43.946,46.242,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,16,43.489,45.687,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,17,42.974,45.251,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,18,42.328,45.011,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,19,41.442,45.143,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,20,40.214,44.935,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,21,38.693,40.006,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,22,36.988,40.303,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,23,35.244,40.925,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,24,33.652,40.684,0
