RMSE,MAE,R2,bias,precision,recall,F1,AUC,base_rate,pred_rate,pred_p95,pred_max,segment,mode,horizon_h,threshold,dur_MAE_h,med_F1,n_event_block,hit_window,false_window,cond_dur_MAE_h,pt_RMSE,pt_R2,pt_bias
7.1094,5.3027,0.55268,0.9641,0.16,0.0465,0.0721,0.8621,0.0118,0.0034,50.85,83.13,test,A,24,62%(业务预警),0.3064,0.0693,53,0.1509,0.0199,2.9623,6.8442,0.58543,-0.2946
7.1094,5.3027,0.55268,0.9641,0.0,0.0,0.0,0.8443,0.0038,0.0009,50.85,83.13,test,A,24,67%(潮解起始),0.1071,0.0,26,0.0385,0.0086,2.1154,6.8442,0.58543,-0.2946
7.1094,5.3027,0.55268,0.9641,0.0,0.0,0.0,0.794,0.001,0.0001,50.85,83.13,test,A,24,75%(吸湿突变),0.0247,0.0,7,0.0,0.0017,2.0,6.8442,0.58543,-0.2946
8.4221,6.5364,0.37214,2.7304,0.1053,0.0233,0.0381,0.8224,0.0118,0.0026,50.82,72.16,test,A,48,62%(业务预警),0.3064,0.0428,58,0.0862,0.0109,2.8276,7.6943,0.47596,-0.2699
8.4221,6.5364,0.37214,2.7304,0.0,0.0,0.0,0.7723,0.0038,0.0006,50.82,72.16,test,A,48,67%(潮解起始),0.1071,0.0,28,0.0,0.0052,2.0,7.6943,0.47596,-0.2699
8.4221,6.5364,0.37214,2.7304,0.0,0.0,0.0,0.6946,0.001,0.0,50.82,72.16,test,A,48,75%(吸湿突变),0.0231,0.0,8,0.0,0.0,1.75,7.6943,0.47596,-0.2699
8.2987,6.2983,0.39043,1.0937,0.0,0.0,0.0,0.807,0.0118,0.0007,47.41,65.42,test,A,72,62%(业务预警),0.2965,0.0,53,0.0189,0.0054,3.2642,8.0656,0.4242,-0.2331
8.2987,6.2983,0.39043,1.0937,0.0,0.0,0.0,0.7711,0.0038,0.0,47.41,65.42,test,A,72,67%(潮解起始),0.0923,0.0,25,0.0,0.0,2.24,8.0656,0.4242,-0.2331
8.2987,6.2983,0.39043,1.0937,0.0,0.0,0.0,0.7511,0.001,0.0,47.41,65.42,test,A,72,75%(吸湿突变),0.0231,0.0,7,0.0,0.0,2.0,8.0656,0.4242,-0.2331
8.8286,6.9335,0.31017,5.6643,0.1461,0.186,0.1637,0.903,0.0118,0.015,56.43,74.32,test,B,24,62%(业务预警),0.3904,0.0546,53,0.5283,0.0632,2.4528,6.2418,0.65519,-0.4945
8.8286,6.9335,0.31017,5.6643,0.0508,0.0536,0.0522,0.8994,0.0038,0.004,56.43,74.32,test,B,24,67%(潮解起始),0.1367,0.0,26,0.3077,0.0241,1.9231,6.2418,0.65519,-0.4945
8.8286,6.9335,0.31017,5.6643,0.0,0.0,0.0,0.9016,0.001,0.0,56.43,74.32,test,B,24,75%(吸湿突变),0.0231,0.0,7,0.0,0.0,2.0,6.2418,0.65519,-0.4945
10.0883,7.8667,0.09913,6.2298,0.1224,0.0698,0.0889,0.8592,0.0118,0.0067,55.63,72.51,test,B,48,62%(业务预警),0.313,0.0343,58,0.2931,0.0273,2.6034,7.2538,0.53424,-0.6671
10.0883,7.8667,0.09913,6.2298,0.0,0.0,0.0,0.8503,0.0038,0.0007,55.63,72.51,test,B,48,67%(潮解起始),0.1087,0.0,28,0.0,0.0104,2.0,7.2538,0.53424,-0.6671
10.0883,7.8667,0.09913,6.2298,0.0,0.0,0.0,0.8217,0.001,0.0,55.63,72.51,test,B,48,75%(吸湿突变),0.0231,0.0,8,0.0,0.0,1.75,7.2538,0.53424,-0.6671
11.0366,8.7196,-0.07814,7.112,0.1176,0.0349,0.0538,0.8558,0.0118,0.0035,55.3,67.56,test,B,72,62%(业务预警),0.3213,0.0,53,0.1698,0.0235,3.1132,7.6989,0.47536,-0.6896
11.0366,8.7196,-0.07814,7.112,0.0,0.0,0.0,0.8535,0.0038,0.0002,55.3,67.56,test,B,72,67%(潮解起始),0.0972,0.0,25,0.0,0.0034,2.24,7.6989,0.47536,-0.6896
11.0366,8.7196,-0.07814,7.112,0.0,0.0,0.0,0.8354,0.001,0.0,55.3,67.56,test,B,72,75%(吸湿突变),0.0231,0.0,7,0.0,0.0,2.0,7.6989,0.47536,-0.6896
8.3811,6.6521,0.37834,5.2294,0.2791,0.0698,0.1116,0.9024,0.0118,0.0029,54.12,69.96,test,C,24,62%(业务预警),0.2916,0.0221,53,0.1509,0.0072,2.9434,6.2797,0.65099,-0.6689
8.3811,6.6521,0.37834,5.2294,0.0,0.0,0.0,0.8948,0.0038,0.0003,54.12,69.96,test,C,24,67%(潮解起始),0.0972,0.0,26,0.0385,0.0034,2.1154,6.2797,0.65099,-0.6689
8.3811,6.6521,0.37834,5.2294,0.0,0.0,0.0,0.8979,0.001,0.0,54.12,69.96,test,C,24,75%(吸湿突变),0.0231,0.0,7,0.0,0.0,2.0,6.2797,0.65099,-0.6689
9.6851,7.6301,0.1697,5.9407,0.1818,0.0233,0.0412,0.8691,0.0118,0.0015,53.63,68.52,test,C,48,62%(业务预警),0.29,0.0227,58,0.0862,0.0055,2.8621,7.2544,0.53417,-0.8385
9.6851,7.6301,0.1697,5.9407,0.0,0.0,0.0,0.8473,0.0038,0.0001,53.63,68.52,test,C,48,67%(潮解起始),0.0939,0.0,28,0.0,0.0017,2.0,7.2544,0.53417,-0.8385
9.6851,7.6301,0.1697,5.9407,0.0,0.0,0.0,0.8152,0.001,0.0,53.63,68.52,test,C,48,75%(吸湿突变),0.0231,0.0,8,0.0,0.0,1.75,7.2544,0.53417,-0.8385
