segment,horizon_h,threshold,F1_B,F1_C,dF1,AUC_B,AUC_C,dAUC,C_wins
val,24,62%(业务预警),0.3922,0.4516,0.0594,0.8584,0.8716,0.0132,True
val,24,67%(潮解起始),0.5714,0.1538,-0.4176,0.8322,0.8362,0.004,False
val,24,75%(吸湿突变),0.0,0.0,0.0,0.9973,0.9966,-0.0007,False
val,48,62%(业务预警),0.3256,0.1739,-0.1517,0.8204,0.8318,0.0114,False
val,48,67%(潮解起始),0.3,0.0,-0.3,0.7903,0.7969,0.0066,False
val,48,75%(吸湿突变),0.0,0.0,0.0,0.9918,0.9846,-0.0072,False
val,72,62%(业务预警),0.0952,0.0,-0.0952,0.8763,0.8788,0.0025,False
val,72,67%(潮解起始),0.0,0.0,0.0,0.9134,0.9263,0.0129,False
val,72,75%(吸湿突变),0.0,0.0,0.0,0.9829,0.959,-0.0239,False
test,24,62%(业务预警),0.141,0.0957,-0.0453,0.9009,0.9029,0.002,False
test,24,67%(潮解起始),0.0571,0.0,-0.0571,0.8995,0.8937,-0.0058,False
test,24,75%(吸湿突变),0.0,0.0,0.0,0.9011,0.8941,-0.007,False
test,48,62%(业务预警),0.087,0.0426,-0.0444,0.8654,0.8711,0.0057,False
test,48,67%(潮解起始),0.0,0.0,0.0,0.8575,0.8478,-0.0097,False
test,48,75%(吸湿突变),0.0,0.0,0.0,0.8401,0.8025,-0.0376,False
test,72,62%(业务预警),0.0179,0.0221,0.0042,0.8586,0.8587,0.0001,True
test,72,67%(潮解起始),0.0,0.0,0.0,0.8587,0.8468,-0.0119,False
test,72,75%(吸湿突变),0.0,0.0,0.0,0.8433,0.837,-0.0063,False
