cave,name,zone,logger,amp_diurnal,peak_hour,amp_annual,peak_day,RH_mean
1,Skulls,Light,8,5.237,5.06,2.617,209.0,41.2
1,Skulls,Dark,2,2.556,1.49,1.394,255.2,45.8
2,Pool,Light,12,4.299,4.03,9.839,243.9,43.7
2,Pool,Dark,9,0.801,22.51,2.076,219.6,47.6
4,Sela',Light,18,2.175,3.07,24.542,221.8,53.1
4,Sela',Dark,17,0.199,12.59,2.73,2.4,57.8
5,Tzruya,Light,21,2.969,1.15,6.377,242.2,45.1
5,Tzruya,Dark,19,0.546,21.69,3.64,31.1,45.5
6,Horror,Light,24,6.781,7.47,10.974,251.3,45.3
6,Horror,Dark,22,1.353,3.77,4.2,250.8,48.4
7,Ureideh,Light,27,8.573,3.67,9.598,232.7,46.2
7,Ureideh,Dark,25,0.79,0.57,3.987,19.1,50.5
9,Murabba'at 2,Light,33,4.622,2.33,16.442,244.7,43.8
9,Murabba'at 2,Dark,32,0.315,14.53,0.573,133.4,44.4
11,Har Sifsof,Light,42,3.239,4.64,16.072,232.2,65.8
11,Har Sifsof,Dark,40,0.681,14.96,5.602,116.7,94.7
12,Te'omim,Light,39,0.414,22.58,,,74.8
12,Te'omim,Dark,38,0.007,7.43,,,99.9
